id	tok	eng	cmn
0	a a a!	ha ha ha!	
1	a a a!	Hahaha! (laughter)	
2	a a a!	interjection: laugh	
3	a a a! ni li musi.	Hahaha! That's funny.	
4	a	ahh, ha!, umm, hmm, ooh	
5	a! akesi li wile moku e mi!	Ahh! The dinosaur wants to eat me!	
6	A: a! sina lukin ala lukin e ijo nasa ni?	Whoa! Do you see that weird thing?	
7	a	interjection: ah, ha, uh, oh, ooh, aw, well (emotion word)	
8	Akanisan	Afghanistan	
9	akesi	adjective: amphibian-, reptilian-, slimy	
10	akesi li pana e telo moli.	"The snake emitted venom (""deadly fluid"")."	
11	akesi	noun: reptile, amphibian; non-cute animal	
12	akesi pi telo moli	venomous snakes, poisonous frogs	
13	akesi	reptile, amphibian	
14	ala	adjective: no, not, none, un-	
15	ala	adjective numeral: 0	
16	ala	adverb: don't	
17	ala!	interjection: no!	
18	ala li jaki.	Nothing is dirty.	
19	Alan	Ireland, Irish Gaelic	
20	ala	not, none; nothing, negation	
21	ala	noun: nothing, negation, zero	
22	alasa	adjective: hunting-, -hunting, hunting	
23	alasa (e)	verb transitive: to hunt, to forage	
24	alasa	hunt, gather	
25	alasa	noun: hunting	
26	ala	zero	
27	ale	adjective: all, every, complete, whole (ale = ali), (depreciated)	
28	ale	adjective numeral: 100 (official Toki Pona book)	
29	ale	adverb: always, forever, evermore, eternally (ale = ali), (depreciated)	
30	ale / ali	everything, all	
31	ale li jo e tenpo.	There is a time for everything. Everything in its right context.	
32	ale li pona.	All is good. Life is beautiful. Everything will be OK.	
33	ale li pona	all is well, I feel calm, I am at peace	
34	ale	noun: everything, anything, life, the universe, (depreciated)	
35	Alensina	Argentina	
36	ali	adjective: all, every, complete, whole (ale = ali)	
37	ali	adverb: always, forever, evermore, eternally (ale = ali)	
38	ali	all, every, complete, 100 (Is rarely used.)	
39	ali	everything, all	
40	ali li seme?	The Ultimate Question of Life, the Universe and Everything.	
41	ali	noun: everything, anything, life, the universe	
42	ali tu	100 + 2 = 102 (Is rarely used.)	
43	A: mi mute o tawa.	Let's go.	
44	A: mi tawa ma Elopa.	I went to Europe.	
45	Anku	Korea, Korean	
46	anpa	adjective: low, lower, bottom, down	
47	anpa	adverb: downstairs, below, deep, low, deeply	
48	anpa (e)	verb transitive: to defeat, to beat, to vanquish, to conquer, to enslave	
49	anpa	ground; low, deep; to lower, to defeat	
50	anpa lawa	neck (bottom of head)	
51	anpa lawa	neck, throat	
52	anpa	noun: bottom, lower part, under, below, floor, beneath	
53	anpa pi sinpin lawa	chin	
54	anpa	verb transitive: to prostrate oneself	
55	ante	adjective: different, dissimilar, changed, other, unequal, differential	
56	ante (e)	verb transitive: to change, to alter, to modify	
57	ante la	conditional: otherwise, on the other hand	
58	ante li kama.	Change comes. Times change.	
59	ante	noun: difference, distinction, differential, variation, variance, disagreement	
60	ante	other, different	
61	Antola	Andorra	
62	anu	conjunction: or (used for decision questions)	
63	anu	or	
64	a!	Ooh, Ahh! Unh! Oh!	
65	a! telo sijelo loje li kama tan nena kute mi!	Ahh! Blood is coming from my ear!	
66	awen	adjective: remaining, stationary, permanent, sedentary	
67	awen	adverb: still, yet	
68	awen (e)	verb transitive: to keep	
69	awen	noun: inertia, continuity, continuum, stay	
70	awen pona	patient	
71	awen	to wait, to pause, to stay; remaining	
72	awen	verb intransitive: to stay, to wait,to remain	
73	Awisi	Haiti, Haitian Creole	
74	B: mi ken ala. mi moku kin.	I can't. I'm still eating.	
75	B: mi lukin kin e ona.	I see it indeed.	
76	B: pona! mi tawa kin.	Cool! I went too.	
77	e	introduces direct object	
78	Ekato	Ecuador	
79	Elena	Greece, Greek	
80	en	and	
81	en	conjunction: and (used to coordinate head nouns)	
82	Epanja	Spain, Spanish	
83	Esi	Estonia, Estonian	
84	Esuka	Basque Country, Basque	
85	esun	adjective: marketable, for sale, salable, deductible	
86	esun (e)	verb transitive: to buy, to sell, to barter, to swap	
87	esun	marketplace, store	
88	esun	noun: market, shop, fair, bazaar, business, transaction	
89	ijo	adjective: of something	
90	ijo	adverb: of something	
91	ijo (e)	verb transitive: to objectify	
92	ijo ike li lon monsi mi.	Bad things are behind me.	
93	ijo li lon oko mi.	Something is in my eye.	
94	ijo li lukin e mi.	Something is watching me.	
95	ijo lon tomo	household things	
96	ijo	noun: thing, something, stuff, anything, object	
97	ijo	something, anything, stuff, thing	
98	ijo uta walo	teeth	
99	ike	adjective: bad, negative, wrong, evil, overly complex	
100	ike	adverb: bad, negative, wrong, evil, overly complex	
101	ike	Bad	
102	ike	bad, evil, complicated	
103	ike (e)	verb transitive: to make bad, to worsen	
104	ike!	interjection: oh dear! woe! alas!	
105	ike la	conditional: unfortunately	
106	ike li kama.	Bad comes. Shit happens.	
107	ike lukin	ugly	
108	ike lukin	ugly	
109	ike	noun: negativity, badness, evil	
110	ike!	Oh no! Uh! oh! Alas!	
111	ike	verb intransitive: to be bad, to suck	
112	Ilakija	Iraq	
113	Ilan	Iran, Persian	
114	I like plants.	kasi li pona, tawa mi.	
115	ilo	adjective: useful	
116	ilo	adverb: usefully	
117	ilo lape	sleeping pill	
