7	tenpo mute la jan Muwije li sike e suno.	Muiriel has turned twenty.	
77	mi mute o kama pali e ijo.	Let's try something.	
78	mi wile tawa lape.	I need to get to bed.	我必須去睡了
80	ni li seme?	What is that?	它是什么？
83	tenpo ni la jan Muka li jo e sike suno mute.	Muiriel has turned twenty.	Muiriel现在20岁了。
84	nimi len li "Muwikija".	The password is "Muiriel".	密碼是「Muiriel」。
85	tenpo kama lili la mi kama sin.	I'll be back right away.	我很快就會回來。
87	a! mi ken ala toki.	I'm lost for words.	我不知道應該說什麼才好。
89	mi sona ala kin e ni: mi wile toki e seme.	I simply don't know what to tell...	我只是不知道應該說什麼而已……
104	tenpo kama la ni li kama ala.	That won't happen.	那是不會發生的。
110	weka sina li ike tawa mi.	I miss you.	我想念你。
111	mi kama sin, la mi toki tawa ona kepeken ilo toki lon tenpo suno kama.	I'll call them tomorrow when I come back.	我明天回来后会打电话给他们。
124	jan mute li pilin e ni: mi nasa.	Most people think I'm crazy.	大部份的人覺得我瘋了。
127	ona li utala noka e mi!!	He's kicking me.	他在踢我！
130	a! o lukin e pipi kule!	Oh, there is a butterfly!	啊，那裏有隻蝴蝶！
139	mi jan suli, la mi wile jan lawa.	When I grow up, I want to be a king.	我長大後想當國王。
170	tan seme la sina wile sona e ni?	Why are you asking?	你問這個幹什麼?
191	sina lukin e sitelen nimi pi kalama musi ni, la ona li jo e kon pi mute ala a.	If you look at the song's lyrics, they really don't mean much.	
196	jan mute li lon ni la ni li ike mute tawa mi.	I hate it when there are a lot of people.	
197	mi wile tawa lape.	I have to go to bed.	
200	ken la sike esun kama la lete li kama.	We might have frost next week.	
207	seme li kama lon tenpo pini?	What's happened?	发生了什么？
249	ken la sina sona e ni: seme li kama.	You can probably guess what happens though.	
281	o pini e ni. ona li pilin ike tan ni!	Stop it! You're making her feel uncomfortable!	得了！你弄得她不自在了！
284	mi toki ala lon toki Nijon.	I can't speak Japanese.	我不會說日語。
285	ni li musi nimi.	This is a pun.	这是个文字游戏。
306	sina wile ala wile e moku telo?	Would you like to drink anything?	你想要什么喝的吗？
309	soweli walo pi noka wawa li toki e ni: "seme li lon?"	"What's the matter?" asked the little white rabbit.	“怎么回事？”小白兔问道。
323	"kalama musi li pona tawa ona." "mi sama."	"She likes music." "So do I."	“她喜欢音乐。”“我也是。”
346	"sina tawa ala. tan seme?" "mi wile ala."	"Why aren't you going?" "Because I don't want to."	"你为什么不去？""因为我不想去。"
365	tenpo pini la mi weka la sina pilin ike anu seme?	Have you missed me?	你想我了？
379	tenpo sinpin la tomo tawa linja li pini la o open ala.	Do not open before the train stops.	在火车停下来之前不要打开。
394	sina toki ala toki kepeken toki Italija?	Do you know Italian?	你會說義大利語嗎？
406	tenpo kama la sina awen ala sona e mi.	You'll forget about me someday.	有一天你会忘了我。
416	mi mute li lape ala tan kalama.	We can't sleep because of the noise.	由于噪音，我们无法入睡。
423	mi ken ala ken toki tawa meli Pon?	May I talk to Ms. Brown?	
429	mi tu li lon utala. mi wile toki tawa sina.	I have a bone to pick with you.	
431	ma tomo Paki li ma tomo pi pona lukin nanpa wan.	Paris is the most beautiful city in the world.	
439	ali kin li ali.	There's no doubt that the universe is infinite.	宇宙毫无疑问是无限的。
449	sina nasa lukin.	You look stupid.	
453	ni li pona mute tawa mi.	I like it very much.	我非常喜歡它.
469	o open e uta sina.	Open your mouth!	把嘴张开！
470	ona li ike ala ike?	Is it that bad?	严重吗？
475	sina wile ala e ijo la sina jo kin e ijo.	Not wanting is the same as having.	没有欲望就等于拥有。
477	o weka tan mi.	Get off me!	让我一个人待着。
480	tenpo pi mute seme la sina sike e suno?	What age are you?	你幾歲?
495	jan ala li kama.	Nobody came.	
503	mi toki tawa sina la o lukin tawa mi.	Look at me when I'm talking to you.	
521	sina pilin seme? tawa sina pi tenpo pini li pona ala pona?	How are you? Did you have a good trip?	
542	sina pilin e lon pi ijo seme, taso sina ken ala pana e ona tawa lukin?	What do you believe is true even though you cannot prove it?	
553	tan seme la pilin ike li lon ale?	Why is life so full of suffering?	
563	mi jo e jan olin e jan lili tu.	I am married and have two children.	我结婚了，而且有两个孩子。
622	ni li toki pi lon ale.	That's the absolute truth.	
626	jan li ken ala pali e ni: ona li wile la jan li pali e ni: ona li ken.	When you can't do what you want, you do what you can.	
627	jan li pana e lili tawa ona la ona li wile jo e ale.	Give him an inch and he'll take a mile.	得寸进尺。
635	mi toki tawa jan seme?	Who am I speaking to?	
666	ona mute li kama jo ala e mani tawa ona li lon supa lape la o awen ala lon supa lape.	Don't stay in bed, unless you can make money in bed.	别老躺着啊，要是躺着能挣钱也行。
673	telo sewi li kama anpa.	It's raining.	在下雨。
689	mi mute li jan sewi lon utala.	We won the battle.	
734	jan pi mute nanpa wan li wile kute e toki ona taso.	Most people only want to hear their own truth.	大部分人只想听到他们自己的真理。
871	sina tan ma seme?	What country are you from?	你是哪国人？
880	ona li lape sama ni: jan lili pi lili mute li lape.	He sleeps like a baby.	他正睡着，像个婴儿一样。
888	toki li ala la kama li ala.	There cannot be progress without communication.	
892	sike ma li tawa ala lon nasin sike lon poka sina.	The world doesn't revolve around you.	世界不是围着你转的。
927	wan, tu, tu wan, tu tu, luka, luka wan, luka tu, luka tu wan, luka tu tu, luka luka.	One, two, three, four, five, six, seven, eight, nine, ten.	一、二、三、四、五、六、七、八、九、十。
946	pona lukin li insa lon lukin pi jan lukin taso.	Beauty is in the eye of the beholder.	情人眼裡出西施。
956	mi pilin la mi ken tawa ali.	I feel that I am free.	
963	mi wile e ilo pi kalama musi. a!	I want an MP3 player!	我想要一个MP3播放器！
964	seme la sina lon?	What's your location?	你在哪儿?
976	ken ala!	Impossible!	没门！
996	ko pi telo mama li moku pi telo ala tan telo mama pi soweli ante mute.	Cheese is a solid food made from the milk of cows, goats, sheep, and other mammals.	奶酪是由母牛、山羊、绵羊或其它哺乳动物的奶被加工制造的坚硬的食物。
998	tan kepeken lawa la mi kepeken ilo telo sewi lon tenpo pimeja.	I usually shower at night.	我通常在晚上洗澡。
1001	tenpo ni la mi pali ala e ni la tenpo ala la mi kama pali e ni.	If I don't do it now, I never will.	
1002	lape pona. sitelen lape pona tawa sina.	Good night. Sweet dreams.	
1005	ken la sina sona e pona la mi ike tan ni: mi lukin e mi taso.	Perhaps you are right, I have been selfish.	
1034	poki len seme li ijo sina?	Which is your luggage?	
1041	mi pali e ijo wan ni la mi lawa e ijo tu ni tawa pona.	That way I kill two birds with one stone.	
1126	o toki e ni tawa jan sama pi pali mi.	Go and speak to my colleague.	请您跟我的同事谈谈。
1134	o kama jo e ijo sina o tawa weka.	Pick up your things and go away.	
1156	ona li jan pi mani mute.	She's loaded.	
1159	o lukin wawa. nasin seme la jan li pali e ni? mi pana e ni tawa lukin sina.	Look carefully. I'm going to show you how it's done.	
1169	tenpo pi mute seme la sina sike e suno?	What age are you?	
1182	mama mije li lon la mije lili ona li lon kin.	Like father, like son.	有其父必有其子。
1183	lon li lon la pilin kama pona li lon.	As long as there's life, there's hope.	有生命就有希望。
1185	nasin ali li lawa lon ma tomo Lone.	All roads lead to Rome.	
1191	tenpo pimeja la soweli tomo ale li pimeja walo.	At night all cats are grey.	猫在黑暗中都是灰色的。
1192	o pana e sona pi nasin pali tawa mi.	Teach me how to do it.	
1200	o awen lon tomo pi jan awen.	Wait in the waiting room.	
1207	kama ni li pona tawa sina.	It serves you right.	自作自受。
1208	sina wile ala wile e moku kili telo?	Do you want fruit juice?	你想要杯果汁吗？
1210	ni li pona tawa sina la o pali.	Do as you want.	
1215	mi mute li sama.	We are two of a kind.	
1217	sinpin li jo e kute.	Walls have ears.	隔牆有耳。
1218	tan kalama uta mi li ike sijelo la mi ken toki ala.	I have a frog in my throat.	我緊張得說不出話來了。
1228	jan li moku pi mute ike la ona li kama suli.	You will get fat if you eat too much.	
1246	ona li mani seme?	How much does it cost?	多少錢？
1256	o weka e ike mi. mi luka e nena nanpa pakala.	Sorry, I've dialled the wrong number.	
1257	mi wile e ni: sina toki lon tawa mi.	I want you to tell me the truth.	我想要你把真相告诉我。
1272	sona mi li wile. sijelo mi taso li wawa ala.	The spirit is willing, but the flesh is weak.	
1277	mi wile tawa supa lape.		我必须睡了。
1279	jan ni li ike mute tawa mi.	I can't stand that guy.	我受不了这家伙。
1282	tenpo ni la jan Muka li jo e sike suno mute.		Muiriel现在20岁了。
1283	nimi len li "Muwikija".		密碼是「Muiriel」。
1284	tenpo kama lili la mi kama sin.	I'll be back right away.	我很快就會回來。
1286	mi wile toki. taso mi lukin ala e nimi.	I am speechless.	我不知道應該說什麼才好。
1287	tenpo kama li pini, la ni li pini ala.		這個永遠結束不了。
1290	mi lon nena.		我以前在山里。
1296	mi ken ala tawa tan ni: sina lon nasin mi.	You're in my way.	你擋住了我的路。
1298	sina wile kama jo e ni lon esun, la sina pana e mani Welo mute luka luka.		這個要三十歐元。
1299	tenpo suno la mi kama jo e mani Welo ale.		我一天挣一百歐元。
1302	ni li kama ala.		那是不會發生的。
1308	weka sina li ike tawa mi.		我想念你。
1311	sina o lape.		你應該去睡覺了吧。
1322	toki pi jan mute la mi nasa.	Most people think that I'm crazy.	大部份的人覺得我瘋了。
1324	ni li toki mi a!	That's my line!	那是我的台词！
1328	a! pipi li lon!		哦！有一隻蝴蝶！
1329	o wawa!	Hurry up!	快点。
1330	ona li sin ala tawa mi.		这并不让我惊讶。
1339	mi suli mute a.		我好胖哦。
1343	mi toki taso!		我只是说说而已！
1348	ni li tan ni: sina jan lili meli.		那是因為妳是女生。
1359	ken ni la mi pilin ike. taso mi moli ala e mi.		我会不高兴，但我不会自杀。
1385	ni li suli ala.	This isn't important.	这不重要。
1395	mi wile tawa lape.		我该上床了。
1398	ken la lete li kama lon sike esun kama.		下周可能会结冰。
1434	mi olin e sina.	I heart you.	我爱您。
1437	pona a!	Congratulations.	祝贺！
1504	sina wile ala wile e moku telo?		你想喝點什麼嗎？
1521	o pana ala e telo lukin.		请你不要哭。
1537	jan Tosi li sona mute.		德国人诡计多端。
1540	tan seme la mi mute li tawa ala lon tomo mi?		我们何不回家呢？
1550	kulupu lawa pi jan ale li nasin lawa pi ike nanpa wan. mi lukin pali lon nasin lawa ante mute. ona taso li ike mute.		除了那些我们尝试过的政府形态，民主是最差的那种了。
1554	jan mute li lon poka ona la ona li kama pilin ike.		他被很多人围着，自然变得有点紧张。
1557	sina jan pi pona mute a!	You're an angel.	你真是个天使！
1577	jan li lon tomo pi kasi kama la jan o tawa ala e kiwen lon sewi.	Those who live in glass houses shouldn't throw stones.	
1590	sina toki ala toki kepeken toki Italija?		你會說義大利語嗎？
1593	o kute ala e toki ona.	Don't take any notice of what he says.	不要在乎他说的话。
1608	jan mute li jo ala e nasin lon ale.		许多人毫无目的地随波逐流。
1619	mi ken ala ken toki tawa jan Pow?		我能和布朗小姐说话吗？
1622	sina wile e seme?		你想要什麼?
1644	sina nasa lukin.		你看上去很傻。
1652	ni li ijo pi mi ala!		这些东西不是我的！
1654	sina wile ala wile tawa musi poka mi?		你愿意和我跳舞吗？
1666	mi weka e poki mani mi.	I've lost my wallet.	我掉了我的钱包。
1671	ona li unpa lukin kin.		他性感得很。
1690	jan ala li kama.	No one came.	
1696	oko mi li telo suli. sina ken lukin e kon mi kepeken telo ni.		我的眼睛是一片反映我梦想的海洋。
1723	tenpo Santa pona!	Merry Christmas.	聖誕快樂。
1738	ilo sona li nasa e jan.		电脑让人变愚蠢了。
1763	sina moku ala e kili tan seme?		为什么你不吃蔬菜？
1775	wile li lon la nasin kin li lon.	Where there is a will, there is a way.	有志者事竟成。
1777	tenpo suno wan la jan li pini ala e pali pi ma tomo Loma.	Rome was not built in a day.	冰冻三尺，非一日之寒。
1778	toki ala li toki e ni: wile!		沉默就意味着同意。
1803	o kama jo e lipu, o lukin e ona.		拿本书读！
1824	pona sina la sina ken ala ken kepeken sin e ilo toki lon tenpo kama?		你可以晚點再打電話來嗎？
1829	ali li pona.		生活是美丽的。
1860	mi wile ala tawa tomo sona.	I don't want to go to school!	我不想去学校。
1861	olin pi mi mute li pini. o pana e sike mi tawa mi a!		我们之间完了，把戒指还给我！
1862	telo li kama tan sewi.	It's raining.	在下雨。
1864	ona li sona a anu seme?		她真的很聪明，不是吗？
1876	mi tawa ma soweli lon tenpo suno pini.		我昨天去了动物园。
1891	ona meli li wile ala toki tan ni.		她不想提了。
1897	sina tawa ma, la o pini e lupa.		出去的时候把门关上。
1900	mije sama lili mi li lukin e ilo pi sitelen tawa.		我弟弟在看電視。
